Value1,Value2,Value3,Value4,Value5,Value6,Value7,Value8,Value9,Value10,Value11,Value12,Value13,Value14,Value15,Value16,Value17,Value18,Substance
247,516,447,726,8866,20429,1007,1349,17772,1155,2753,820,655,486,545,422,17348,5110,Cassava Flour
247,516,447,726,8864,20426,1006,1349,17776,1155,2755,820,655,486,545,422,17348,5110,Cassava Flour
247,516,447,726,8863,20425,1007,1349,17802,1156,2759,820,655,486,546,422,17349,5112,Cassava Flour
247,516,447,726,8861,20424,1007,1350,17825,1157,2762,821,656,486,546,422,17349,5113,Cassava Flour
247,516,447,726,8860,20420,1007,1349,17812,1156,2761,820,655,486,546,422,17348,5113,Cassava Flour
247,516,447,726,8858,20419,1008,1349,17846,1157,2765,821,656,487,546,422,17346,5112,Cassava Flour
247,516,446,726,8858,20417,1008,1350,17853,1158,2766,821,656,487,546,422,17347,5113,Cassava Flour
247,516,446,726,8856,20415,1008,1350,17849,1157,2766,821,656,486,546,422,17346,5112,Cassava Flour
247,516,446,726,8855,20417,1007,1350,17841,1157,2765,821,656,486,546,422,17347,5113,Cassava Flour
247,516,446,726,8854,20413,1007,1350,17848,1157,2766,821,656,486,546,422,17343,5112,Cassava Flour
247,516,446,725,8852,20409,1007,1350,17869,1157,2768,821,656,486,546,422,17341,5112,Cassava Flour
247,516,446,725,8852,20411,1007,1349,17853,1157,2767,820,656,486,546,422,17341,5113,Cassava Flour
247,516,446,725,8851,20408,1007,1349,17862,1157,2768,820,655,486,545,422,17342,5113,Cassava Flour
247,516,446,725,8849,20405,1007,1349,17871,1157,2770,820,655,486,545,422,17341,5113,Cassava Flour
247,516,446,725,8848,20403,1007,1349,17866,1157,2769,820,655,486,545,422,17341,5112,Cassava Flour
246,515,446,722,8806,20341,1002,1345,17893,1154,2773,819,651,480,539,418,17316,5115,Cassava Flour
246,515,446,722,8805,20342,1003,1345,17893,1155,2773,819,651,480,539,417,17317,5118,Cassava Flour
246,515,446,722,8805,20342,1003,1345,17921,1155,2777,819,652,480,540,418,17317,5117,Cassava Flour
246,515,446,722,8805,20340,1002,1345,17898,1154,2773,819,651,480,540,417,17313,5116,Cassava Flour
246,515,446,722,8806,20342,1003,1345,17909,1154,2776,819,651,480,540,417,17313,5115,Cassava Flour
246,515,446,722,8806,20344,1003,1345,17916,1154,2776,819,651,480,540,417,17316,5117,Cassava Flour
246,515,446,722,8805,20340,1003,1345,17924,1154,2777,819,652,480,540,417,17314,5116,Cassava Flour
246,515,446,723,8806,20341,1003,1345,17930,1155,2779,819,652,480,540,417,17316,5117,Cassava Flour
246,515,446,723,8806,20342,1003,1345,17933,1155,2779,819,652,480,540,417,17317,5117,Cassava Flour
246,515,445,723,8805,20342,1003,1345,17952,1156,2782,819,652,480,540,417,17317,5116,Cassava Flour
246,515,445,723,8804,20338,1003,1346,17955,1156,2782,819,652,480,540,417,17315,5117,Cassava Flour
246,515,446,723,8804,20338,1003,1345,17963,1156,2783,819,652,480,540,417,17315,5118,Cassava Flour
246,515,446,723,8805,20341,1003,1345,17958,1155,2783,819,652,480,540,417,17316,5119,Cassava Flour
246,515,446,723,8805,20342,1003,1345,17954,1155,2782,819,652,480,540,417,17316,5117,Cassava Flour
246,515,446,723,8805,20341,1003,1345,17957,1156,2782,819,652,480,540,417,17315,5117,Cassava Flour
184,398,348,558,7062,15601,563,849,5966,621,912,509,287,217,282,226,12734,3743,Garri
185,398,348,558,7064,15604,564,850,5999,622,916,509,287,218,283,226,12735,3743,Garri
185,398,348,558,7066,15607,565,850,6035,623,921,510,288,218,283,227,12735,3742,Garri
185,398,348,558,7066,15608,566,851,6075,624,926,510,289,219,284,227,12735,3742,Garri
185,398,348,558,7067,15609,566,851,6115,624,931,511,289,219,285,227,12732,3741,Garri
185,398,348,558,7068,15611,567,851,6134,625,933,511,289,219,285,228,12731,3742,Garri
186,398,348,558,7069,15611,567,851,6140,625,933,511,289,219,285,228,12730,3741,Garri
